#Org.,Pro.,Eco.,Descripción,Créditos Iniciales,Modificaciones de Crédito,Créditos Totales consignados,Obligaciones Reconocidas,Disponible de Remanentes por aplicación
0150A,13000,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,28317.2,,28317.2,22181.0,
0150A,13000,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,11507.76,,11507.76,11507.76,
0150A,13000,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,15152.08,,15152.08,16066.83,
0150A,13000,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,20614.56,,20614.56,17821.76,
0150A,13000,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,45480.96,,45480.96,39352.32,
0150A,13000,12300,RESIDENCIA PERSONAL FUNCIONARIO,5799.36,,5799.36,5113.2,
0150A,13200,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,99960.2,,99960.2,93160.2,
0150A,13200,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,389956.08,,389956.08,365464.17,
0150A,13200,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,4667084.16,-285000.0,4382084.16,4183826.29,
0150A,13200,12004,SUELDOS PERSONAL FUNCIONARIO GRUPO C2,5992.5,,5992.5,,
0150A,13200,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,2229401.34,240000.0,2469401.34,2602246.1,
0150A,13200,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,2718865.58,-100000.0,2618865.58,2533528.12,
0150A,13200,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,6458699.52,-375165.53,6083533.99,6069125.54,
0150A,13200,12300,RESIDENCIA PERSONAL FUNCIONARIO,788716.72,,788716.72,739556.97,
0150A,13200,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,,,,58447.68,
0150A,13200,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,,,,59374.27,
0150A,13200,13100,RETRIBUCIONES PERSONAL LABORAL TEMPORAL,,,,12598.66,
0150A,13200,13500,RETRIBUCIONES LABORAL INDEFINIDO A PUESTO FUNCIONARIO,386031.38,,386031.38,347915.55,
0150A,13300,12004,SUELDOS PERSONAL FUNCIONARIO GRUPO C2,97155.0,200000.0,297155.0,191470.04,
0150A,13300,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,16245.6,,16245.6,80889.6,
0150A,13300,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,18300.6,,18300.6,97126.77,
0150A,13300,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,43545.6,150000.0,193545.6,231892.03,
0150A,13300,12300,RESIDENCIA PERSONAL FUNCIONARIO,5716.8,,5716.8,30443.5,
0150A,13600,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,3400.0,,3400.0,,
0150A,13600,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,81162.16,,81162.16,77762.16,
0150A,13600,12004,SUELDOS PERSONAL FUNCIONARIO GRUPO C2,1061922.0,,1061922.0,1004788.3,
