#Eco.,Descripción,Previsiones Iniciales,Total Modificaciones,Previsiones totales,Drchos Reconocidos Totales
10000,CESIÓN DEL I.R.P.F.,6060962.0,,6060962.0,6457550.35
11200,IMPUESTO SOBRE BIENES INMUEBLES DE NATURALEZA RÚSTICA,9089.67,,9089.67,9122.25
11300,IMPUESTO SOBRE BIENES INMUEBLES DE NATURALEZA URBANA,75080284.36,,75080284.36,85449344.94
11301,IMPUESTO SOBRE BIENES INMUEBLES DE NAT. URBANA REPERCUTIDO,30092.31,,30092.31,
11400,IMPTO. SOBRE BIENES INMUEBLES DE CARACTERÍSTICAS ESPECIALES,3072350.92,,3072350.92,2936346.33
11500,IMPUESTO SOBRE VEHÍCULOS DE TRACCIÓN MECÁNICA,14513604.9,,14513604.9,15577809.53
11600,IMPUESTO SOBRE INCREM. DEL VALOR DE TERRENOS DE NAT. URBANA,8500000.0,,8500000.0,11489950.22
13000,IMPUESTO SOBRE LAS ACTIVIDADES ECONÓMICAS (I.A.E.),13354464.59,,13354464.59,13497533.66
22000,IMPUESTO SOBRE EL ALCOHOL Y BEBIDAS DERIVADAS,72307.2,,72307.2,74499.0
22001,IMPUESTO SOBRE LA CERVEZA,32542.32,,32542.32,32759.52
22006,IMPUESTO SOBRE PRODUCTOS INTERMEDIOS,1422.56,,1422.56,1786.63
28000,COMPENSACION ESTATAL SUPRESIÓN I.G.T.E.,3202533.93,,3202533.93,3230855.35
29000,"IMPUESTO SOBRE CONSTRUCCIONES, INSTALACIONES Y OBRAS",1840500.0,,1840500.0,2172138.44
29200,ARBITRIO S/ IMPORT Y ENTREGAS DE MERCANCÍ EN CANARIAS (AIEM),4154932.41,,4154932.41,5140028.85
29300,IMPUESTO GENERAL INDIRECTO CANARIO (I.G.I.C.),37411737.17,,37411737.17,43259286.33
29900,IMPUESTO DE MATRICULACIÓN,322247.56,,322247.56,341817.63
30200,TASA POR RECOGIDA DE BASURA COMERCIAL,1127313.42,,1127313.42,1327447.33
30900,TASA POR SERVICIO DE EXTINCIÓN DE INCENDIOS,26000.0,,26000.0,56399.11
30901,TASA POR UTILIZACIÓN DEL VERTEDERO,,,,
31901,TASA POR PRESTACIÓN DE SERV. POR ACTIV. SOCIO-CULT. Y DEPORT,,,,30.0
32500,TASA POR EXPEDICIÓN DE DOCUMENTOS,130000.0,,130000.0,54184.38
32900,TASA POR LICENCIA DE APERTURA,,,,490.73
32901,TASA POR DERECHOS DE EXAMEN,,,,4015.15
32903,TASA POR LICENCIA DE AUTOTAXIS,149967.6,,149967.6,122284.69
33000,TASA POR ESTACIONAMIENTO VIGILADO DE VEHÍCULOS,,,,262.43
33100,TASA POR ENTRADA DE VEHÍCULOS,919843.68,,919843.68,931592.84
33200,TASA POR OCUPACIÓN DEL SUBSUELO,3532147.0,,3532147.0,3563571.89
33700,TASA POR OCUPACIÓN DEL SUELO Y VUELO CON ELEM. PUBLICITARIOS,80167.78,,80167.78,95037.35
33800,C.T.N.E. COMPENSACIÓN LEY 15/87,1302119.0,,1302119.0,1323170.87
33900,"TASA OCUPACION VÍA PUBLIC. CON HAMACAS, EMBARCACIONES",3116.2,,3116.2,3116.2
33901,"TASA POR OCUPACIÓN DE LA VÍA PÚBLICA CON VALLAS, ANDAMIOS",223965.31,,223965.31,303898.32
33903,TASA POR OCUP.DEL DOM. PÚB. LOC. POR ACTIV. MERCANT.O INDUST,122852.4,,122852.4,164024.86
33904,TASA POR OCUPACIÓN DE PUESTOS Y LOCALES EN MERCADOS,98576.4,,98576.4,63806.85
33905,TASA POR OCUPACIÓN DE LA VÍA PÚBLICA CON CAJEROS,65218.0,,65218.0,70022.0
35100,CONTRIBUCIÓN ESP. POR MEJORA DEL SERV. DE EXT. DE INCENDIOS,957503.71,,957503.71,946371.61
38900,REINTEGRO DE PAGOS EJERCICIOS ANTERIORES,326560.0,,326560.0,1170402.21
