#Eco.,Descripción,Previsiones Iniciales,Total Modificaciones,Previsiones totales,Drchos Reconocidos Totales
10000,CESIÓN DEL I.R.P.F.,6626320.0,,6626320.0,6266181.84
11200,IMPUESTO SOBRE BIENES INMUEBLES DE NATURALEZA RÚSTICA,8286.16,,8286.16,9085.63
11300,IMPUESTO SOBRE BIENES INMUEBLES DE NATURALEZA URBANA,70341286.35,,70341286.35,73768486.03
11301,IMPUESTO SOBRE BIENES INMUEBLES DE NAT. URBANA REPERCUTIDO,28202.0,,28202.0,
11400,IMPTO. SOBRE BIENES INMUEBLES DE CARACTERÍSTICAS ESPECIALES,3035455.08,,3035455.08,3183170.09
11500,IMPUESTO SOBRE VEHÍCULOS DE TRACCIÓN MECÁNICA,17047150.0,,17047150.0,17960084.2
11600,IMPTO. SOBRE INCREMENTO DE VALOR DE LOS TERRENOS URBANOS,7500000.0,,7500000.0,9407420.21
13000,IMPUESTO SOBRE ACTIVIDADES ECONÓMICAS,13844298.89,,13844298.89,13060387.0
22000,IMPUESTO SOBRE EL ALCOHOL Y BEBIDAS DERIVADAS,87870.0,,87870.0,55142.96
22001,IMPUESTO SOBRE LA CERVEZA,37220.0,,37220.0,22850.79
22006,IMPUESTO SOBRE PRODUCTOS INTERMEDIOS,1780.0,,1780.0,964.24
29000,"IMPUESTO SOBRE CONSTRUCCIONES, INSTALACIONES Y OBRAS",1846098.0,,1846098.0,2401431.24
30200,TASA POR RECOGIDA DE BASURA COMERCIAL,824500.0,,824500.0,862237.94
30900,TASA POR SERVICIO DE EXTINCIÓN DE INCENDIOS,35000.0,,35000.0,17578.93
30901,TASA POR UTILIZACIÓN DEL VERTEDERO,1126338.76,,1126338.76,1604831.52
31101,RECOGIDA DE BASURAS COMERCIALES,,,,23.09
31901,TASA POR PRESTACIÓN DE SERV. POR ACTIV. SOCIO-CULT. Y DEPORT,43588.71,,43588.71,237994.97
32500,TASA POR EXPEDICIÓN DE DOCUMENTOS,321160.5,,321160.5,497083.02
32901,TASA POR DERECHOS DE EXAMEN,,,,7999.65
32903,TASA POR LICENCIA DE AUTOTAXIS,79058.18,,79058.18,88827.57
33000,TASA POR ESTACIONAMIENTO VIGILADO DE VEHÍCULOS,18600.0,,18600.0,944.27
33100,TASA POR ENTRADA DE VEHÍCULOS,824500.0,,824500.0,882022.77
33200,"TASA POR OCUPACIÓN DEL SUBSUELO, SUELO Y VUELO",5659643.76,,5659643.76,6985621.17
33300,TASA APROVECH. DOMINIO PÚBLICO EMPRESAS DE TELEFONÍA MÓVIL,1718752.15,,1718752.15,190408.05
33400,"TASA POR OCUPACIÓN DE LA VÍA CON ZANJAS, CALÍCATAS, ...",250.0,,250.0,
33500,TASA POR MESAS Y SILLAS.,,,,0.01
33700,TASA POR OCUPACIÓN DEL SUELO Y VUELO CON ELEM. PUBLICITARIOS,132533.0,,132533.0,102034.2
33800,CTNE (COMPENSACIÓN LEY 15/87),1710161.12,,1710161.12,1629956.62
33900,"TASA POR OCUPACION DE VÍA PUBLIC. CON HAMACAS, EMBARCACIONES",3391.16,,3391.16,3528.63
33901,"TASA POR OCUPACIÓN DE LA VÍA PÚBLICA CON VALLAS, ANDAMIOS",260000.0,,260000.0,261272.53
33902,TASA  POR OCUPACIÓN DE LA VÍA PÚBLICA CON QUIOSCOS,,,,245.29
33903,"TASA POR OCUPACIÓN DE LA VÍA PÚBLICA CON BARRACAS, CASETAS",124642.25,,124642.25,131013.3
33904,TASA POR OCUPACIÓN DE PUESTOS Y LOCALES EN MERCADOS,35.0,,35.0,97252.31
33905,TASA POR OCUPACIÓN DE LA VÍA PÚBLICA CON CAJEROS,71742.0,,71742.0,68732.0
35000,PARA LA EJECUCIÓN DE OBRAS.,,,,
35100,CONTRIBUCIÓN ESPECIAL POR MEJORA DEL SERV DE EXT. INCENDIOS,954781.57,,954781.57,1112100.63
37000,MONETARIZACIÓN DEL APROVECHAMIENTO URBANÍSTICO,,,,11622.0
38900,REINTEGRO DE PAGOS DE EJERCICIOS ANTERIORES,490000.0,,490000.0,609085.28
38901,REINTEGRO DE ANUNCIOS A CARGO DE PARTICULARES,22183.7,,22183.7,414.2
38902,REINTEGRO DE INDEMNIZACIONES DE PARTICULARES,69085.95,,69085.95,62452.58
38903,REINTEGROS OBRAS-INSTAL C/PARTICULARES,,,,39260.19
39100,MULTAS POR INFRACCIONES URBANÍSTICAS,375000.0,,375000.0,4149.05
39110,MULTAS POR INFRACCIONES TRIBUTARIAS Y ANÁLOGAS,200000.0,,200000.0,
39120,MULTAS POR INFRACCIONES DE LA ORDENANZA DE CIRCULACIÓN,6376136.91,,6376136.91,6893177.31
39190,OTRAS MULTAS Y SANCIONES,163463.93,,163463.93,958433.27
39200,RECARGO POR DECLARACIÓN EXTEMPORÁNEA SIN REQUERIM. PREVIO,100.0,,100.0,14.28
39210,RECARGO EJECUTIVO,129000.0,,129000.0,259954.03
39211,RECARGO DE APREMIO,2332000.0,,2332000.0,1286446.48
39300,INTERESES DE DEMORA,1381000.0,,1381000.0,443219.67
39710,OTROS INGRESOS POR APROVECHAMIENTOS URBANÍSTICOS,648206.46,,648206.46,428464.47
39800,INDEMNIZACIONES DE SEGUROS DE NO VIDA.,,35719.8,35719.8,35719.8
39900,RECURSOS EVENTUALES,208230.68,,208230.68,39779.57
39901,OTROS INGRESOS DIVERSOS,286734.74,,286734.74,282201.07
