#Org.,Pro.,Eco.,Descripción,Créditos Iniciales,Modificaciones de Crédito,Créditos Totales consignados,Obligaciones Reconocidas,Disponible de Remanentes por aplicación
0150A,91200,10000,RETRIBUCIONES BÁSICAS ÓRGANOS DE GOBIERNO,61470.6,,61470.6,69810.93,
0150A,91200,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,6654.3,,6654.3,,
0150A,91200,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,3117.3,,3117.3,,
0150A,91200,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,4994.4,,4994.4,,
0150A,91200,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,9819.18,,9819.18,,
0150A,91200,12300,RESIDENCIA PERSONAL FUNCIONARIO,1029.24,,1029.24,,
0150A,91200,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,24058.56,,24058.56,23586.74,
0150A,91200,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,31685.64,,31685.64,35026.47,
0150A,91200,13300,RETRIBUCIONES PERSONAL LABORAL INDEFINIDO,39755.04,,39755.04,28501.48,
0150A,91200,15000,PRODUCTIVIDAD PERSONAL FUNCIONARIO,2640.48,,2640.48,,
0150A,91200,15004,PRODUCTIVIDAD PERSONAL LABORAL,5280.96,,5280.96,5280.94,
0150A,91200,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,,,,585.48,
0150A,91200,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",770.0,,770.0,370.0,
0150A,91200,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,385.0,,385.0,1699.06,
0150A,91200,22201,COMUNICACIONES POSTALES,345.0,,345.0,,
0150A,91200,22202,COMUNICACIONES TELEGRÁFICAS,215.0,,215.0,,
0150A,91200,22606,"REUNIONES, CONFERENCIAS Y CURSOS",5130.0,-613.0,4517.0,,
0150A,91200,22613,"CUOTAS """"UNICEF""""",3000.0,,3000.0,3000.0,
0150A,91200,22699,OTROS GASTOS DIVERSOS,69745.0,-24275.09,45469.91,33520.63,
0150A,91200,22703,SERVICIOS POSTALES Y MENSAJERÍA,215.0,,215.0,,
0150A,91200,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,62630.0,,62630.0,35192.3,
0150A,91200,23000,DIETAS DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBIERNO,,,,283.68,
0150A,91200,23010,DIETAS DEL PERSONAL DIRECTIVO,2310.0,,2310.0,,
0150A,91200,23020,DIETAS DEL PERSONAL NO DIRECTIVO,1540.0,-1540.0,,,
0150A,91200,23100,LOCOMOCIONES DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBIERNO,,,,806.29,
0150A,91200,23110,LOCOMOCIONES DEL PERSONAL DIRECTIVO,3667.0,,3667.0,,
0150A,91200,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,950.0,-950.0,,,
0150A,91200,48905,OTRAS TRANSFERENCIAS CASA DE ÁFRICA,180000.0,,180000.0,180000.0,
0150B,91200,10000,RETRIBUCIONES BÁSICAS ÓRGANOS DE GOBIERNO,294892.16,-3672.62,291219.54,271480.96,
0150B,91200,11000,RETRIBUCIONES BÁSICAS PERSONAL EVENTUAL,260275.92,-22000.0,238275.92,218731.36,
0150B,91200,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,11507.76,,11507.76,12466.74,
0150B,91200,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,8640.24,,8640.24,11520.32,
0150B,91200,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,4346.88,,4346.88,5182.55,
0150B,91200,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,9452.76,,9452.76,4726.34,
0150B,91200,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,11394.48,,11394.48,13612.9,
0150B,91200,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,25602.96,,25602.96,25410.85,
0150B,91200,12300,RESIDENCIA PERSONAL FUNCIONARIO,3069.6,,3069.6,3672.2,
0150B,91200,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,14909.64,,14909.64,10243.46,
0150B,91200,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,13363.32,,13363.32,9985.37,
0150B,91200,13100,RETRIBUCIONES PERSONAL LABORAL TEMPORAL,25317.72,,25317.72,16582.44,
0150B,91200,13300,RETRIBUCIONES PERSONAL LABORAL INDEFINIDO,131569.08,,131569.08,132159.84,
0150B,91200,15000,PRODUCTIVIDAD PERSONAL FUNCIONARIO,6677.88,,6677.88,3234.88,
0150B,91200,15004,PRODUCTIVIDAD PERSONAL LABORAL,2227.2,,2227.2,2221.14,
0150B,91200,21300,"REPAR/MANTEN. MAQUINARIA, INSTALACIONES TÉCNICAS Y UTILLAJE",,254.1,254.1,337.05,
0150B,91200,21500,REPAR/MANTEN. MOBILIARIO,342.0,,342.0,2977.49,
0150B,91200,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,3420.0,,3420.0,6493.88,
0150B,91200,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",684.0,,684.0,366.0,
0150B,91200,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,3420.0,,3420.0,3077.86,
0150B,91200,22201,COMUNICACIONES POSTALES,4250.0,,4250.0,605.87,
0150B,91200,22202,COMUNICACIONES TELEGRÁFICAS,346.28,,346.28,,
0150B,91200,22601,ATENCIONES PROTOCOLARIAS Y REPRESENTATIVAS,14548.8,-4000.0,10548.8,6201.58,
0150B,91200,22602,PUBLICIDAD Y PROPAGANDA,,,,1940.4,
0150B,91200,22606,"REUNIONES, CONFERENCIAS Y CURSOS",16159.5,-1000.0,15159.5,13403.58,
0150B,91200,22609,ACTIVIDADES CULTURALES Y DEPORTIVAS,2118.98,,2118.98,18212.54,
0150B,91200,22699,OTROS GASTOS DIVERSOS,18622.15,9114.53,27736.68,27568.91,
0150B,91200,22706,ESTUDIOS Y TRABAJOS TÉCNICOS,2077.65,,2077.65,,
0150B,91200,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,12062.5,-10000.0,2062.5,202.87,
0150B,91200,23000,DIETAS DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBIERNO,12825.0,-3000.0,9825.0,1577.82,
0150B,91200,23020,DIETAS DEL PERSONAL NO DIRECTIVO,7600.0,,7600.0,138.01,
0150B,91200,23100,LOCOMOCIONES DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBIERNO,21000.0,496.58,21496.58,4417.2,
0150B,91200,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,17000.0,-2000.0,15000.0,788.88,
0150C,91200,11000,RETRIBUCIONES BÁSICAS PERSONAL EVENTUAL,47129.52,,47129.52,45614.14,
0150C,91200,13100,RETRIBUCIONES PERSONAL LABORAL TEMPORAL,79510.08,-5000.0,74510.08,70293.0,
0150C,91200,13300,RETRIBUCIONES PERSONAL LABORAL INDEFINIDO,49202.76,,49202.76,40966.39,
0150C,91200,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,,,,70.88,
0150C,91200,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",26150.0,,26150.0,27041.55,
0150C,91200,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,300.0,,300.0,961.74,
0150C,91200,22201,COMUNICACIONES POSTALES,80.0,,80.0,,
0150C,91200,22602,PUBLICIDAD Y PROPAGANDA,240000.0,-33750.0,206250.0,123224.76,
0150C,91200,22603,PUBLICACIÓN EN DIARIOS OFICIALES,10000.0,,10000.0,7825.73,
0150C,91200,22699,OTROS GASTOS DIVERSOS,8500.0,,8500.0,29174.14,
