#Org.,Pro.,Eco.,Descripción,Créditos Iniciales,Créditos Extraordinarios,Créditos Totales consignados,Obligaciones Reconocidas,Disponible de Remanentes por aplicación
0001A,43900,42390,"OTRAS SUBV A SOC MERCANT EST,ENTID PÚBLIC EMPR Y O ORG.PÚBL",,60000.0,60000.0,60000.0,
0001A,91200,10000,RETRIBUCIONES BÁSICAS ÓRGANOS DE GOBIERNO,824758.24,,953758.24,987504.95,
0001A,91200,11000,RETRIBUCIONES BÁSICAS PERSONAL EVENTUAL,505186.67,,505186.67,504368.79,
0001A,91200,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,784.11,,784.11,3808.51,
0001A,91200,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,70177.7,,70177.7,69814.08,
0001A,91200,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,15986.28,,15986.28,15377.22,
0001A,91200,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,39753.8,,39753.8,40669.86,
0001A,91200,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,37034.89,,39034.89,38336.2,
0001A,91200,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,84707.78,,88707.78,88643.37,
0001A,91200,12300,RESIDENCIA PERSONAL FUNCIONARIO,11388.62,,11988.62,11798.04,
0001A,91200,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,648332.95,,648332.95,647962.05,
0001A,91200,13506,COMPLEMENTO GARANTÍA RETRIBUT. PERSONAL PROCEDENTE DE ERELPA,3078.84,,3078.84,2568.6,
0001A,91200,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,1400.0,,1400.0,1395.28,
0001A,91200,21600,REPAR/MANTEN. EQUIPOS PARA PROCESOS DE INFORMACIÓN,,,,346.75,
0001A,91200,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,3000.0,,3000.0,151.13,
0001A,91200,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",600.0,,43.8,,
0001A,91200,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,3000.0,,3000.0,7514.54,
0001A,91200,22201,COMUNICACIONES POSTALES,1500.0,,1217.0,,
0001A,91200,22202,COMUNICACIONES TELEGRÁFICAS,300.0,,300.0,,
0001A,91200,22601,ATENCIONES PROTOCOLARIAS Y REPRESENTATIVAS,12000.0,,12000.0,5456.51,
0001A,91200,22602,PUBLICIDAD Y PROPAGANDA,3000.0,,120.0,5250.49,
0001A,91200,22606,"REUNIONES, CONFERENCIAS Y CURSOS",10000.0,,10000.0,12213.59,
0001A,91200,22609,ACTIVIDADES CULTURALES Y DEPORTIVAS,10000.0,,15000.0,841.47,
0001A,91200,22699,OTROS GASTOS DIVERSOS,26700.0,,26700.0,15137.74,
0001A,91200,22706,ESTUDIOS Y TRABAJOS TÉCNICOS,1500.0,,1500.0,,
0001A,91200,23000,DIETAS DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBIERNO,10000.0,,10000.0,2245.84,
0001A,91200,23020,DIETAS DEL PERSONAL NO DIRECTIVO,6000.0,,6000.0,1658.65,
0001A,91200,23100,LOCOMOCIONES DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBIERNO,12000.0,,12000.0,2848.39,
0001A,91200,23110,LOCOMOCIONES DEL PERSONAL DIRECTIVO,10000.0,,10000.0,,
0001A,91200,23120,LOCOMOCIONES DEL PERSONAL NO DIRECTIVO,9000.0,,9000.0,2739.36,
0001B,91200,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,500.0,,500.0,,
0001B,91200,21600,REPAR/MANTEN. EQUIPOS PARA PROCESOS DE INFORMACIÓN,500.0,,500.0,110.38,
0001B,91200,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,90.0,,90.0,,
0001B,91200,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",26000.0,2805.74,28805.74,36652.25,
0001B,91200,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,450.0,,450.0,1537.88,
0001B,91200,22602,PUBLICIDAD Y PROPAGANDA,98001.5,3049.34,101050.84,74110.09,
0001B,91200,22699,OTROS GASTOS DIVERSOS,56837.0,16735.85,73572.85,44090.4,
0001B,91200,22799,OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES,12000.0,,12000.0,,
0001C,91200,48001,GRUPOS POLÍTICOS,68400.0,,68400.0,68400.0,
0001D,92000,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,13553.82,,13553.82,13441.8,
0001D,92000,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,96.86,,96.86,,
0001D,92000,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,52360.56,,52360.56,52360.56,
0001D,92000,12006,TRIENIOS DEL PERSONAL FUNCIONARIO,18948.12,,18948.12,18256.8,
0001D,92000,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,37791.84,,37791.84,40771.15,
0001D,92000,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,37337.58,,37337.58,37086.15,
0001D,92000,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,72363.51,,90994.63,90903.0,
0001D,92000,12106,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL FUNCIONARIO,32446.68,,24017.46,11532.24,
0001D,92000,12300,RESIDENCIA PERSONAL FUNCIONARIO,10517.33,,10517.33,10485.84,
0001D,92000,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,32367.67,,32367.67,22203.7,
0001D,92000,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,26921.04,,26921.04,16814.33,
0001D,92000,13006,COMPLEMENTO PERSONAL TRANSITORIO PERSONAL LABORAL,10622.4,,10622.4,6708.08,
0001D,92000,13500,RETRIBUCIONES LABORAL INDEFINIDO EN PUESTO DE FUNCIONARIO,27713.14,,27713.14,27709.92,
0001D,92000,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,,,,163.71,
0001D,92000,21600,REPAR/MANTEN. EQUIPOS PARA PROCESOS DE INFORMACIÓN,,,,440.46,
0001D,92000,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,,,,284.71,
0001D,92000,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",4329.67,,4329.67,4801.3,
0001D,92000,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,3646.1,,3646.1,3686.44,
