#Eco.,Descripción,Previsiones Iniciales,Total Modificaciones,Previsiones totales,Drchos Reconocidos Totales,Transf. De Drchos. Rec. Negativos
10000,CESIÓN DEL I.R.P.F.,6453532.72,,6453532.72,7256294.71,0
28000,COMPENSACION ESTATAL SUPRESIÓN I.G.T.E.,8216694.56,,8216694.56,3202829.92,0
33100,TASA POR ENTRADA DE VEHÍCULOS,888270.52,,888270.52,953488.54,0
39200,RECARGO POR DECLARACIÓN EXTEMPORÁNEA SIN REQUERIMI. PREVIO,100.0,,100.0,,0
11200,IMPUESTO SOBRE BIENES INMUEBLES DE NATURALEZA RÚSTICA,9259.08,,9259.08,9204.13,0
11300,IMPUESTO SOBRE BIENES INMUEBLES DE NATURALEZA URBANA,75528737.65,,75528737.65,80660791.26,0
11400,IMPTO. SOBRE BIENES INMUEBLES DE CARACTERÍSTICAS ESPECIALES,3165212.72,,3165212.72,3731839.06,0
11500,IMPUESTO SOBRE VEHÍCULOS DE TRACCIÓN MECÁNICA,14426972.21,,14426972.21,15670662.94,0
11600,IMPUESTO SOBRE INCREM. DEL VALOR DE TERRENOS DE NAT. URBANA,9200000.0,,9200000.0,11455333.0,0
13000,IMPUESTO SOBRE LAS ACTIVIDADES ECONÓMICAS (I.A.E.),13084501.68,,13084501.68,13337633.31,0
22000,IMPUESTO SOBRE EL ALCOHOL Y BEBIDAS DERIVADAS.,78419.08,,78419.08,79606.32,0
22001,IMPUESTO SOBRE LA CERVEZA.,33509.28,,33509.28,32062.68,0
22006,IMPUESTO SOBRE PRODUCTOS INTERMEDIOS,1514.64,,1514.64,1642.21,0
29000,"IMPUESTO SOBRE CONSTRUCCIONES, INSTALACIONES Y OBRAS",2150000.0,,2150000.0,4763233.56,0
29200,ARBITRIO S/ IMPORT Y ENTREGAS DE MERCANCÍ EN CANARIAS (AIEM),4805935.34,,4805935.34,4718536.3,0
29300,IMPUESTO GENERAL INDIRECTO CANARIO (I.G.I.C.),43011603.8,,43011603.8,46860751.13,0
29900,IMPUESTO DE MATRICULACIÓN,392478.99,,392478.99,416782.02,0
30200,TASA POR RECOGIDA DE BASURA COMERCIAL,1083966.54,,1083966.54,1349606.46,0
30900,TASA POR SERVICIO DE EXTINCIÓN DE INCENDIOS,58552.87,,58552.87,47151.55,0
30901,TASA POR UTILIZACIÓN DEL VERTEDERO,,,,,0
31901,TASA POR PRESTACIÓN DE SERV. POR ACTIV. SOCIO-CULT. Y DEPORT,,,,25073.9,0
32006,"TASA POR OCUPACION VIA PUBLICA, MESAS Y SILLAS",,,,9.36,0
32500,TASA POR EXPEDICIÓN DE DOCUMENTOS,120000.0,,120000.0,57546.11,0
32903,TASA POR LICENCIA DE AUTOTAXIS,141073.44,,141073.44,104589.38,0
33000,TASA POR ESTACIONAMIENTO VIGILADO DE VEHÍCULOS,,,,274246.25,0
33200,TASA POR OCUPACIÓN DEL SUBSUELO,3444984.54,,3444984.54,3525446.43,0
33300,TASA APROVECH. DOMINIO PÚBLICO EMPRESAS DE TELEFONÍA MOVIL,,,,9667.88,0
33700,TASA POR OCUPACIÓN DEL SUELO Y VUELO CON ELEM. PUBLICITARIOS,77749.6,,77749.6,103363.54,0
33800,CTNE COMPENSACIÓN LEY 15/87,1330522.7,,1330522.7,1389236.54,0
33900,"TASA OCUPACION VÍA PUBLIC. CON HAMACAS, EMBARCACIONES",3116.2,,3116.2,3116.2,0
33901,"TASA POR OCUPACIÓN DE LA VÍA PÚBLICA CON VALLAS, ANDAMIOS.",253404.13,,253404.13,352512.11,0
33903,TASA POR OCUP.DEL DOM. PÚB. LOC. POR ACTIV. MERCANT.O INDUST,77362.6,,77362.6,155531.68,0
33904,TASA POR OCUPACIÓN DE PUESTOS Y LOCALES EN MERCADOS,118900.86,,118900.86,58597.52,0
33905,TASA POR OCUPACIÓN DE LA VÍA PÚBLICA CON CAJEROS,62534.0,,62534.0,63035.67,0
35100,CONTRIBUCIÓN ESPECIAL POR MEJORA DEL SERV. DE EXT. INCENDIOS,946371.61,,946371.61,1270202.46,0
38900,REINTEGRO DE PAGOS EJERCICIOS ANTERIORES,500000.0,,500000.0,470421.58,0
38901,REINTEGRO DE ANUNCIOS A CARGO DE PARTICULARES,1000.0,,1000.0,8154.4,0
38902,REINTEGRO DE INDEMNIZACIONES DE PARTICULARES,150000.0,,150000.0,23345.93,0
38903,REINTEGROS OBRAS-INSTAL C/PARTICULARES,,,,68818.58,0
39100,MULTAS POR INFRACCIONES URBANÍSTICAS,1000.0,,1000.0,,0
39120,MULTAS POR INFRACCIONES DE LA ORDENANZA DE CIRCULACIÓN,8500000.0,,8500000.0,6813985.87,0
39190,OTRAS MULTAS Y SANCIONES,515000.0,,515000.0,472083.74,0
39210,RECARGO EJECUTIVO,224950.0,,224950.0,226525.83,0
39211,RECARGO DE APREMIO,2180100.0,,2180100.0,2886862.4,0
39300,INTERESES DE DEMORA,724805.0,,724805.0,920333.48,0
