#Org.,Pro.,Eco.,Descripción,Créditos Iniciales,Modificaciones de Crédito,Créditos Totales consignados,Obligaciones Reconocidas,Disponible de Remanentes por aplicación
0150A,13000,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,97596.4,,97596.4,93160.2,
0150A,13000,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,386468.94,-25000.0,361468.94,337457.83,
0150A,13000,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,4582207.28,,4582207.28,4086113.34,
0150A,13000,12004,SUELDOS PERSONAL FUNCIONARIO GRUPO C2,100674.0,-98277.0,2397.0,1797.75,
0150A,13000,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,2315568.49,-44404.64,2271163.85,2480931.5,
0150A,13000,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,2826324.2,99978.36,2926302.56,3415593.09,
0150A,13000,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,6664936.32,-373597.36,6291338.96,6262646.19,
0150A,13000,12300,RESIDENCIA PERSONAL FUNCIONARIO,823281.56,-15625.92,807655.64,720060.38,
0150A,13000,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,,,,46364.28,
0150A,13000,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,,,,54065.94,
0150A,13000,13300,RETRIBUCIONES PERSONAL LABORAL INDEFINIDO,,28000.0,28000.0,301132.64,
0150A,13300,12004,SUELDOS PERSONAL FUNCIONARIO GRUPO C2,294831.0,,294831.0,,
0150A,13300,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,133213.92,,133213.92,,
0150A,13300,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,150064.92,,150064.92,,
0150A,13300,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,357073.92,-357073.92,,,
0150A,13300,12300,RESIDENCIA PERSONAL FUNCIONARIO,46877.76,,46877.76,,
0150A,13400,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,15526.7,,15526.7,17744.8,
0150A,13400,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,11507.76,,11507.76,11507.76,
0150A,13400,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,10191.02,,10191.02,12037.91,
0150A,13400,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,13517.28,,13517.28,15028.96,
0150A,13400,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,29655.36,,29655.36,32981.76,
0150A,13400,12300,RESIDENCIA PERSONAL FUNCIONARIO,4083.96,,4083.96,4427.04,
0150A,13500,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,11090.5,,11090.5,,
0150A,13500,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,87842.44,,87842.44,76970.14,
0150A,13500,12004,SUELDOS PERSONAL FUNCIONARIO GRUPO C2,1030110.75,,1030110.75,982371.25,
0150A,13500,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,587410.13,,587410.13,651461.82,
0150A,13500,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,681324.43,22000.0,703324.43,798804.6,
0150A,13500,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,1739646.72,-50140.2,1689506.52,1679052.68,
0150A,13500,12300,RESIDENCIA PERSONAL FUNCIONARIO,179604.92,,179604.92,166838.41,
0150A,13500,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,30898.56,,30898.56,32578.11,
0150A,13500,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,33279.84,,33279.84,62604.75,
0150A,13500,13100,RETRIBUCIONES PERSONAL LABORAL TEMPORAL,82263.36,-4652.47,77610.89,,
0150A,13500,13300,RETRIBUCIONES PERSONAL LABORAL INDEFINIDO,,,,119744.75,
0150A,21100,16105,PENSIONES A CARGO DE LA ENTIDAD LOCAL.,151200.32,-20000.0,131200.32,20941.14,
0150A,23000,16000,SEGURIDAD SOCIAL,19874235.98,50000.0,19924235.98,19983263.53,
0150A,49100,12000,SUELDOS PERSONAL FUNCIONARIO GRUPO A1,44362.0,,44362.0,16635.75,
0150A,49100,12001,SUELDOS PERSONAL FUNCIONARIO GRUPO A2,80554.32,,80554.32,26116.22,
0150A,49100,12003,SUELDOS PERSONAL FUNCIONARIO GRUPO C1,69121.92,,69121.92,21207.64,
0150A,49100,12004,SUELDOS PERSONAL FUNCIONARIO GRUPO C2,71910.0,,71910.0,35955.0,
0150A,49100,12009,OTRAS RETRIBUCIONES BÁSICAS PERSONAL FUNCIONARIO,104309.4,,104309.4,50063.96,
0150A,49100,12100,COMPLEMENTO DE DESTINO PERSONAL FUNCIONARIO,140308.48,,140308.48,60656.18,
0150A,49100,12101,COMPLEMENTO ESPECÍFICO PERSONAL FUNCIONARIO,268430.4,-163261.24,105169.16,102378.27,
0150A,49100,12300,RESIDENCIA PERSONAL FUNCIONARIO,41169.6,,41169.6,15512.91,
0150A,49100,13000,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,,,,30862.2,
0150A,49100,13002,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,,,,29970.4,
0150A,49100,13100,RETRIBUCIONES PERSONAL LABORAL TEMPORAL,36924.07,,36924.07,5762.4,
0150A,49100,13300,RETRIBUCIONES PERSONAL LABORAL INDEFINIDO,,111500.0,111500.0,404610.27,
0150A,91200,16205,SEGUROS,10512.16,,10512.16,989.26,
0150A,91200,21500,REPAR/MANTEN. MOBILIARIO Y ENSERES,,,,48.15,
0150A,91200,22000,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,,,,546.95,
0150A,91200,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",985.0,,985.0,16012.04,
0150A,91200,22002,MATERIAL INFORMÁTICO NO INVENTARIABLE,684.0,,684.0,,
0150A,91200,22201,COMUNICACIONES POSTALES,450.0,,450.0,,
0150A,91200,22202,COMUNICACIONES TELEGRÁFICAS,355.0,,355.0,,
0150A,91200,22601,ATENCIONES PROTOCOLARIAS Y REPRESENTATIVAS,1270.0,,1270.0,963.0,
0150A,91200,22606,"REUNIONES, CONFERENCIAS Y CURSOS",5060.0,,5060.0,,
0150A,91200,22613,"CUOTAS """"UNICEF""""",3000.0,,3000.0,3000.0,
0150A,91200,22699,OTROS GASTOS DIVERSOS,91626.0,-13300.0,78326.0,40393.01,
0150A,91200,22703,SERVICIOS POSTALES Y MENSAJERÍA,170.0,,170.0,,
0150A,91200,22706,ESTUDIOS Y TRABAJOS TÉCNICOS,20000.0,,20000.0,,
