#Eco.,Descripción,Previsiones Iniciales,Total Modificaciones,Previsiones totales,Drchos Reconocidos Totales
10000,CESIÓN DEL I.R.P.F.,5752502.0,,5752502.0,5869253.76
11200,IMPUESTO SOBRE BIENES INMUEBLES DE NATURALEZA RÚSTICA,9155.51,,9155.51,9980.39
11300,IMPUESTO SOBRE BIENES INMUEBLES DE NATURALEZA URBANA,75264826.24,,75264826.24,80359102.27
11301,IMPUESTO SOBRE BIENES INMUEBLES DE NAT. URBANA REPERCUTIDO,30092.31,,30092.31,
11400,IMPTO SOBRE BIENES INMUEBLES DE CARACTERÍSTICAS ESPECIALES,3075974.37,,3075974.37,3360852.77
11500,IMPTO. S/VEHICULOS TRACCION MECANICA,14876620.35,,14876620.35,15709672.2
11600,IMPTO. S/INCREMENTO VALOR TERRENOS URBANOS,10400000.0,,10400000.0,9324863.56
13000,IMPTO. S/ACTIVIDADES EMPRESARIALES,13130487.87,,13130487.87,13484300.35
22000,IMPUESTO SOBRE EL ALCOHOL Y BEBIDAS DERIVADAS.,83847.2,,83847.2,85854.84
22001,IMPUESTO SOBRE LA CERVEZA.,32892.32,,32892.32,33022.56
22006,IMPUESTO SOBRE PRODUCTOS INTERMEDIOS,1552.56,,1552.56,1588.92
28000,COMPENSACION ESTATAL SUPRESIÓN I.G.T.E.,,,,3208219.05
29000,IMPUESTO S/CONSTRUCCIONES,1311519.0,,1311519.0,1947228.92
29200,ARBITRIO S/ IMPORT Y ENTREGAS DE MERCANCÍ EN CANARIAS (AIEM),,,,3266758.56
29300,IMPUESTO GENERAL INDIRECTO CANARIO (IGIC).,,,,29414464.68
29900,I. MATRICULACIÓN,,,,253362.42
30200,TASA POR RECOGIDA DE BASURA COMERCIAL,975933.0,,975933.0,1331773.81
30900,TASA POR SERVICIO DE EXTINCIÓN DE INCENDIOS,5853.48,,5853.48,25927.31
30901,TASA POR UTILIZACIÓN DEL VERTEDERO,,,,233.13
31004,TASAS POR DERECHOS DE EXAMENES,,,,
31901,TASA POR PRESTACIÓN DE SERV. POR ACTIV. SOCIO-CULT. Y DEPORT,,,,20916.2
32500,TASA POR EXPEDICIÓN DE DOCUMENTOS,150000.0,,150000.0,87143.01
32900,TASA POR LICENCIA DE APERTURA.,,,,
32901,TASA POR DERECHOS DE EXAMEN,,,,10359.7
32903,TASA POR LICENCIA DE AUTOTAXIS,99267.69,,99267.69,155104.52
33000,TASA POR ESTACIONAMIENTO VIGILADO DE VEHÍCULOS,,,,429.43
33100,TASA POR ENTRADA DE VEHÍCULOS,853600.0,,853600.0,924558.9
33200,TASA POR OCUPACIÓN DEL SUBSUELO,3775835.64,,3775835.64,3448761.13
33300,TASA APROVECH. DOMINIO PÚBLICO EMPRESAS DE TELEFONÍA MOVIL,,,,
33700,TASA POR OCUPACIÓN DEL SUELO Y VUELO CON ELEM. PUBLICITARIOS,82918.57,,82918.57,96002.2
33800,CTNE COMPENSACIÓN LEY 15/87,1271103.0,,1271103.0,1366778.53
33900,"TASA OCUPACION VÍA PUBLIC. CON HAMACAS, EMBARCACIONES",3116.2,,3116.2,3116.2
33901,"TASA POR OCUPACIÓN DE LA VÍA PÚBLICA CON VALLAS, ANDAMIOS.",254330.52,,254330.52,276321.41
33902,TASA  POR OCUPACIÓN DE LA VÍA PÚBLICA CON QUIOSCOS,,,,
33903,TASA POR OCUP. DEL DOM. PÚB. LOC. POR ACTV. MERCANT. O INDUS,131036.85,,131036.85,76446.63
33904,TASA POR OCUPACIÓN DE PUESTOS Y LOCALES EN MERCADOS,4110.0,,4110.0,190378.05
33905,TASA POR OCUPACIÓN DE LA VÍA PÚBLICA CON CAJEROS,60000.0,,60000.0,66404.0
35100,CONTRIBUCIÓN ESPECIAL POR MEJORA DEL SERVICIO DE E,979837.12,,979837.12,957503.71
38900,REINTEGRO DE PAGOS EJERCICIOS ANTERIORES,142951.76,,142951.76,2598890.14
38901,REINTEGRO DE ANUNCIOS A CARGO DE PARTICULARES,1000.0,,1000.0,667.36
38902,REINTEGRO DE INDEMNIZACIONES DE PARTICULARES,87350.0,,87350.0,14013.07
38903,REINTEGROS OBRAS-INSTAL C/PARTICULARES,,59871.46,59871.46,141953.83
39100,MULTAS POR INFRACCIONES URBANÍSTICAS,1000.0,,1000.0,
39110,MULTAS POR INFRACCIONES TRIBUTARIAS Y ANÁLOGAS,300000.0,,300000.0,
39120,MULTAS POR INFRACCIONES DE LA ORDENANZA DE CIRCULACIÓN,7081205.0,,7081205.0,11861856.43
