#Eco.,Descripción,Previsiones Iniciales,Total Modificaciones,Previsiones totales,Drchos Reconocidos Totales
10000,CESIÓN DEL I.R.P.F.,6078360.0,,6078360.0,6078363.6
11200,IMPUESTO SOBRE BIENES INMUEBLES DE NATURALEZA RÚSTICA,9085.63,,9085.63,9174.71
11300,IMPUESTO SOBRE BIENES INMUEBLES DE NATURALEZA URBANA,72726152.83,,72726152.83,79325772.54
11301,IMPUESTO SOBRE BIENES INMUEBLES DE NAT. URBANA REPERCUTIDO,30092.31,,30092.31,
11400,IMPTO SOBRE BIENES INMUEBLES DE CARACTERÍSTICAS ESPECIALES,3050197.52,,3050197.52,3314813.66
11500,IMPUESTO SOBRE VEHÍCULOS DE TRACCIÓN MECÁNICA,16108800.0,,16108800.0,17603727.25
11600,IMPUESTO SOBRE EL INCREMENTO DE VALOR DE TERRENOS URBANOS,9500000.0,,9500000.0,10865199.11
13000,IMPUESTO SOBRE ACTIVIDADES ECONÓMICAS,13315053.2,,13315053.2,13525009.04
22000,IMPUESTO SOBRE EL ALCOHOL Y BEBIDAS DERIVADAS,81437.2,,81437.2,83396.64
22001,IMPUESTO SOBRE LA CERVEZA,34982.32,,34982.32,35094.48
22006,IMPUESTO SOBRE PRODUCTOS INTERMEDIOS,1592.56,,1592.56,1629.12
28000,COMPENSACION ESTATAL SUPRESIÓN I.G.T.E.,,,,3167961.58
29000,"IMPUESTO SOBRE CONSTRUCCIONES, INSTALACIONES Y OBRAS",1884928.21,,1884928.21,1306958.0
29200,ARBITRIO S/ IMPORT Y ENTREGAS DE MERCANCÍ EN CANARIAS (AIEM),,,,3820658.43
29300,IMPUESTO GENERAL INDIRECTO CANARIO (IGIC).,,,,27108471.81
29900,I. MATRICULACIÓN,,,,385523.64
30200,TASA POR RECOGIDA DE BASURA COMERCIAL,850000.0,,850000.0,1226804.37
30900,TASA POR SERVICIO DE EXTINCIÓN DE INCENDIOS,35000.0,,35000.0,20010.25
30901,TASA POR UTILIZACIÓN DEL VERTEDERO,902981.73,,902981.73,964730.82
31100,LICENCIA DE APERTURA,,,,
31901,TASA POR PRESTACIÓN DE SERV. POR ACTIV. SOCIO-CULT. Y DEPORT,343313.47,,343313.47,21852.5
32500,TASA POR EXPEDICIÓN DE DOCUMENTOS,436125.0,,436125.0,74817.11
32901,TASA POR DERECHOS DE EXAMEN,,,,12658.45
32903,TASA POR LICENCIA DE AUTOTAXIS,102850.56,,102850.56,89131.63
33000,TASA POR ESTACIONAMIENTO VIGILADO DE VEHÍCULOS,,,,603.68
33100,TASA POR ENTRADA DE VEHÍCULOS,848750.0,,848750.0,899724.7
33200,TASA POR OCUPACIÓN DEL SUBSUELO,3694579.09,,3694579.09,3694135.83
33300,TASA APROVECH. DOMINIO PÚBLICO EMPRESAS DE TELEFONÍA MOVIL,,,,
33700,TASA POR OCUPACIÓN DEL SUELO Y VUELO CON ELEM. PUBLICITARIOS,134214.26,,134214.26,209077.96
33800,C.T.N.E. (COMPENSACIÓN LEY 15/87),1133492.66,,1133492.66,1311186.0
33900,"TASA OCUPACION VÍA PUBLIC. CON HAMACAS, EMBARCACIONES",3391.16,,3391.16,3528.64
33901,"TASA POR OCUPACIÓN DE LA VÍA PÚBLICA CON VALLAS, ANDAMIOS",215196.54,,215196.54,266396.92
33902,TASA  POR OCUPACIÓN DE LA VÍA PÚBLICA CON QUIOSCOS,,,,243.5
33903,"TASA POR OCUPACIÓN DE LA VÍA PÚBLICA CON BARRACAS, CASETAS",113760.7,,113760.7,19614.37
33904,TASA POR OCUPACIÓN DE PUESTOS Y LOCALES EN MERCADOS,38.0,,38.0,130751.01
33905,TASA POR OCUPACIÓN DE LA VÍA PÚBLICA CON CAJEROS,68732.0,,68732.0,66834.0
35100,CONTRIB. ESP. POR MEJORA DEL SERV. DE EXTINCIÓN DE INCENDIOS,945783.08,,945783.08,979837.11
38900,REINTEGRO DE PAGOS EJERCICIOS ANTERIORES,486000.0,,486000.0,359864.36
38901,REINTEGRO DE ANUNCIOS A CARGO DE PARTICULARES,1000.0,,1000.0,
38902,REINTEGRO DE INDEMNIZACIONES DE PARTICULARES,103325.0,,103325.0,72798.71
38903,REINTEGROS OBRAS-INSTAL C/PARTICULARES,,,,17668.9
